p,rate,pktsz,lat_median,lat_99th,mean_tput
0.25,10,512,659490.0,4261154.81,9.670406181818182
0.25,10,1518,762866.0,4231035.2799999975,9.717960000000001
0.25,100,64,324906.0,1693965.4000000004,95.60840727272728
0.25,100,256,470248.0,1136374.7199999993,93.28146618181819
0.25,100,512,789350.5,2272629.5,96.15856654545453
0.25,100,1518,759627.0,4423526.599999964,98.46478181818182
0.5,0.1,64,1117010.0,6759766.02,0.09321672727272727
0.5,0.1,256,907947.5,6192280.79,0.08353527272727274
0.5,0.1,512,919263.0,5862077.369999999,0.07161963636363636
0.5,0.1,1518,905363.0,6439282.82,0.1353658181818182
0.5,1,64,1031502.5,6783943.800000001,0.9606981818181818
0.5,1,256,785009.0,7002007.200000023,0.9294196363636363
0.5,1,512,723077.0,6466985.6,0.949154909090909
0.5,1,1518,924595.0,7800155.719999995,1.017888
0.5,10,64,1081965.0,2659824.38,9.562472727272727
0.5,10,256,1008527.0,6521653.519999998,9.36569018181818
0.5,10,512,742219.0,6611402.850000001,9.668171999999998
0.5,10,1518,929924.0,6996253.600000002,9.899138545454546
0.5,100,64,104142.0,9542021.120000001,72.65170072727273
0.5,100,256,674267.0,1397190.0899999999,92.90559454545453
0.5,100,512,788423.0,1630912.1500000027,94.99641636363637
0.5,100,1518,855581.5,6154072.989999982,98.84443200000001
1,0.1,64,7517526.5,10545989.950000001,0.09321345454545454
1,0.1,256,6811702.0,10565022.14,0.083532
1,0.1,512,7238540.5,10486517.600000001,0.07161963636363636
1,0.1,1518,10115514.0,10854610.959999999,0.10610981818181818
1,1,64,9978095.5,10714883.00000001,0.960824
1,1,256,10016066.0,19407753.299999807,0.9295454545454545
1,1,512,10048293.0,10938097.719999999,0.9534992727272726
1,1,1518,10471014.0,11244872.620000001,1.0247603636363636
1,10,64,1812438.0,3351764.719999945,9.520704363636362
1,10,256,4753930.0,10231050.319999998,9.35985490909091
1,10,512,10098351.0,50030865.10999999,9.699450545454546
1,10,1518,10426018.0,30237128.77999997,10.033152
1,100,64,22982682.0,24390480.52,24.67992218181818
1,100,256,22677206.0,23559619.5,78.99651272727272
1,100,512,1848552.0,2272812.4,95.70167636363637
1,100,1518,2618705.0,12523527.399999997,98.90417381818182
