p,rate,pktsz,lat_median,lat_99th,mean_tput
0.01,10,256,3235871.0,11398437.099999975,9.190246545454546
0.01,10,512,4426592.5,12956503.82,9.568381818181818
0.01,10,1024,3948568.0,12768958.30000001,9.765362181818183
0.01,10,1280,4606972.0,13748762.86,9.866831272727273
0.01,10,1518,5165527.0,14022342.679999977,9.8808
0.01,50,64,294171400.5,419900661.88,2.0575127272727274
0.01,50,128,193853249.0,295688314.89,4.445183999999999
0.01,50,256,158767479.0,242064455.12,9.549730909090908
0.01,50,512,77075726.5,175187780.84,20.787944727272727
0.01,50,1024,4025255.0,12887090.239999983,48.64111709090909
0.01,50,1280,4602095.5,13234560.290000001,48.916945454545456
0.01,50,1518,5186690.0,13624480.36,49.121928
0.01,100,64,513235951.0,823221591.3199999,1.4289163636363638
0.01,100,128,407474192.0,653129994.28,2.738269090909091
0.01,100,256,194903442.5,493574600.5,6.962641454545455
0.01,100,512,134465287.0,401926185.76,16.722292363636363
0.01,100,1024,124942690.5,176018097.3,42.108492
0.01,100,1280,17493283.0,35045991.769999996,65.27652472727273
0.01,100,1518,15653676.0,27409428.17,86.83702436363637
0.05,0.1,64,6086559.0,20174518.840000026,0.09090909090909091
0.05,0.1,128,5413670.5,22892611.78,0.08224581818181818
0.05,0.1,256,5514880.0,19973937.26,0.08238545454545454
0.05,0.1,512,5559744.0,20308361.0,0.07149381818181817
0.05,0.1,1024,5871528.0,21900113.6,0.09532509090909091
0.05,0.1,1280,11267351.5,19077376.330000002,0.08948981818181817
0.05,0.1,1518,7852075.0,22273621.24,0.14156036363636365
0.05,0.5,64,4972089.0,21298332.389999993,0.47608836363636364
0.05,0.5,128,5126944.0,22403737.19000001,0.4320970909090909
0.05,0.5,256,5830429.5,22038234.719999988,0.46148109090909095
0.05,0.5,512,7337047.0,28986155.15999991,0.476748
0.05,0.5,1024,9404673.0,23463224.999999996,0.476748
0.05,0.5,1280,9629751.0,22531734.68,0.5363261818181818
0.05,0.5,1518,10653934.5,25048704.90999999,0.5653705454545455
0.05,1,64,4947430.0,22958477.519999992,0.9419698181818181
0.05,1,128,4912198.0,20769288.88000001,0.8579552727272728
0.05,1,256,5593087.5,21176747.299999993,0.9146476363636364
0.05,1,512,7000466.5,22403723.62000002,0.9520701818181818
0.05,1,1024,7648212.0,22703058.439999994,0.9526287272727272
0.05,1,1280,8585626.0,22256940.159999996,0.9831625454545454
0.05,1,1518,9125662.5,25220169.93,1.0245119999999999
0.05,10,64,312353343.0,457895136.08,1.539578181818182
0.05,10,128,263955992.0,369347408.6000001,2.5278836363636366
0.05,10,256,14590785.0,74279682.67999989,6.772084363636363
0.05,10,512,7422733.0,25004193.159999993,9.515380363636364
0.05,10,1024,7626669.0,22338995.200000003,9.75369309090909
0.05,10,1280,7947441.0,22772721.16000001,9.795025454545454
0.05,10,1518,8294036.0,23585341.919999998,9.916128
0.05,50,64,490569153.0,700897044.2399999,1.1688436363636363
0.05,50,128,436259147.5,613390503.89,1.921349818181818
0.05,50,256,398505388.0,553846719.4000001,3.8183098181818185
0.05,50,512,347477944.5,461054568.01000005,7.886103272727272
0.05,50,1024,79618943.0,248766751.37000003,19.518184727272725
0.05,50,1280,20040279.0,49508691.8,35.82138181818182
0.05,50,1518,12915549.0,37031302.08999998,45.018912
0.05,100,64,665644826.0,988377807.8399999,0.9975854545454546
0.05,100,128,591734020.5,843936772.38,1.8244421818181817
0.05,100,256,462325275.0,936069989.4599998,4.659605090909091
0.05,100,512,370255595.0,896125535.3600001,10.390560727272728
0.05,100,1024,306104379.0,394448088.4,18.580945454545457
0.05,100,1280,259575478.0,361431431.56,24.48629309090909
0.05,100,1518,57452745.0,129449545.5,29.28703781818182
0.1,0.1,64,11235662.0,33332023.820000045,0.09123854545454546
0.1,0.1,128,8977093.0,34901481.199999996,0.08162690909090908
0.1,0.1,256,9227948.5,31579716.79999998,0.082232
0.1,0.1,512,11572969.0,28591178.479999993,0.07161963636363636
0.1,0.1,1024,10647419.5,33492929.700000003,0.09470618181818183
0.1,0.1,1280,8054414.0,24860483.24,0.11928218181818181
0.1,0.1,1518,10234119.0,30912988.599999998,0.14143781818181816
0.1,0.5,64,10210111.0,37256680.12,0.46784945454545457
0.1,0.5,128,8467177.0,30347329.450000055,0.4294145454545455
0.1,0.5,256,9885460.0,34731313.0,0.4589709090909091
0.1,0.5,512,9704348.0,33290810.439999994,0.47488945454545456
0.1,0.5,1024,12880490.0,30704049.409999996,0.4767512727272727
0.1,0.5,1280,11800351.5,32597435.650000002,0.5065403636363636
0.1,0.5,1518,11526217.0,34927944.510000005,0.5653738181818182
0.1,1,64,9084883.0,44360762.91999985,0.9295512727272728
0.1,1,128,8633792.5,39440314.699999966,0.8560036363636363
0.1,1,256,8289624.0,33165108.00000003,0.9240530909090909
0.1,1,512,9956925.5,33219170.739999995,0.9489083636363637
0.1,1,1024,11358301.0,31053632.24000001,0.9530043636363636
0.1,1,1280,11393739.0,33362498.40000004,0.9799076363636363
0.1,1,1518,11045022.0,38407908.5,1.0599658181818183
0.1,10,64,543285875.0,821303675.1999998,0.892373090909091
0.1,10,128,488337360.0,746372939.94,1.540408
0.1,10,256,460597947.0,644722766.0499998,2.851407272727273
0.1,10,512,17546754.0,61967995.44,8.618482181818182
0.1,10,1024,10687465.0,33948983.0,9.724774545454547
0.1,10,1280,9488574.0,31390670.03000001,9.815505454545455
0.1,10,1518,10513858.0,34487386.760000005,9.909077818181819
0.1,50,64,707726030.0,1045376854.78,0.801784
0.1,50,128,572385988.5,899169607.8299997,1.4064036363636365
0.1,50,256,568847043.0,848900387.5,2.7194974545454547
0.1,50,512,503488649.0,739919760.0,5.753702545454546
0.1,50,1024,302732466.0,517474879.41999996,12.177533818181818
0.1,50,1280,35112277.0,114704964.5,21.348664
0.1,50,1518,40213850.0,79163209.88,25.796741818181818
0.1,100,64,817260069.5,1347410394.37,0.7582930909090908
0.1,100,128,753671673.0,1150944777.0,1.311032
0.1,100,256,766814308.0,1216923087.3999996,2.4321258181818184
0.1,100,512,713356259.5,1125451842.75,5.135206545454546
0.1,100,1024,473988598.0,627457318.9,11.76905090909091
0.1,100,1280,395423145.0,581651553.11,14.379878545454545
0.1,100,1518,105440207.0,308390699.72,19.923461818181817
0.25,0.1,64,20909250.0,65654574.20000003,0.0913549090909091
0.25,0.1,128,19229596.5,58815120.66999999,0.08297672727272727
0.25,0.1,256,18319880.5,62355759.53999995,0.08241818181818181
0.25,0.1,512,17995628.0,46326682.60000002,0.07161963636363636
0.25,0.1,1024,26730731.0,58287755.75,0.0954509090909091
0.25,0.1,1280,20228679.5,56394917.4,0.08949309090909091
0.25,0.1,1518,25454246.0,53591964.31,0.14143781818181816
0.25,0.5,64,23487495.0,69683721.71999998,0.462264
0.25,0.5,128,20829975.0,68049391.1,0.42918181818181816
0.25,0.5,256,19203252.0,61605829.60000001,0.4606138181818182
0.25,0.5,512,21254743.5,62209446.65,0.475448
0.25,0.5,1024,23184953.0,58917612.03,0.4741447272727273
0.25,0.5,1280,21003799.0,62405647.16,0.5363294545454544
0.25,0.5,1518,20943054.0,53780909.32999999,0.562488
0.25,1,64,383727237.0,1020589144.2000009,0.49731854545454546
0.25,1,128,21218559.5,119169924.39999984,0.8497665454545456
0.25,1,256,20727149.0,68799703.45,0.9207949090909091
0.25,1,512,19271194.0,61523414.750000045,0.951389090909091
0.25,1,1024,19645708.0,62274538.20000002,0.9469207272727272
0.25,1,1280,19627874.0,56552470.14,1.0096967272727273
0.25,1,1518,18546443.5,57344114.08,1.0599658181818183
0.25,10,64,1249604063.0,1802276078.9999995,0.4023658181818182
0.25,10,128,1220526979.0,1724147734.04,0.6470145454545455
0.25,10,256,1139244665.5,1600707307.42,1.3206203636363636
0.25,10,512,955021500.0,1261786279.32,2.635901818181818
0.25,10,1024,27591321.5,80528135.44,9.182240727272728
0.25,10,1280,23498351.0,66554197.08000001,9.701594909090907
0.25,10,1518,22896352.0,68537607.0199999,9.882029818181818
0.25,50,64,1298390928.0,1899554494.3,0.3960821818181818
0.25,50,128,1138493994.0,1807452484.4799995,0.6886261818181818
0.25,50,256,1145878231.0,1686109504.28,1.3154072727272728
0.25,50,512,988695692.0,1437372767.68,2.656381818181818
0.25,50,1024,542053667.0,1055795539.0799998,5.446811272727272
0.25,50,1280,122479932.5,255953624.82999998,7.608568363636364
0.25,50,1518,92457461.5,170263887.34999996,12.028328363636366
0.25,100,64,1384011951.0,2140589738.43,0.3800592727272727
0.25,100,128,1351462915.5,2131591648.9400003,0.6140432727272727
0.25,100,256,1201308928.5,1963070067.95,1.3042658181818183
0.25,100,512,1223457850.5,1924623562.25,2.437368363636364
0.25,100,1024,983570963.5,1256833753.6799998,5.108332727272728
0.25,100,1280,843710364.5,1134086042.75,6.325310181818182
0.25,100,1518,190102782.0,420290517.0599994,8.158808363636364
0.5,0.1,64,41078637.0,110996531.66,0.09164254545454545
0.5,0.1,128,39583398.0,108714509.6199999,0.08288036363636364
0.5,0.1,256,36294361.0,106072898.28,0.08288036363636363
0.5,0.1,512,40983509.5,99610639.13999999,0.071244
0.5,0.1,1024,47993085.0,93453661.75,0.0928410909090909
0.5,0.1,1280,37914600.0,99897630.05999999,0.08948981818181818
0.5,0.1,1518,47638082.5,95891157.80999997,0.14143454545454545
0.5,0.5,64,194574914.0,676579008.5200006,0.2876570909090909
0.5,0.5,128,42333000.0,119463593.08000007,0.4253618181818182
0.5,0.5,256,38044163.5,109963533.99,0.45859527272727274
0.5,0.5,512,36062293.0,99874804.94000001,0.47414145454545453
0.5,0.5,1024,33613612.0,87848485.79999998,0.4760032727272727
0.5,0.5,1280,36571407.5,92415037.85000002,0.5316716363636363
0.5,0.5,1518,34869449.0,94186821.16,0.5653705454545455
0.5,1,64,1632604252.0,2602146638.3999996,0.2557152727272727
0.5,1,128,625952281.0,1199415278.28,0.4688352727272727
0.5,1,256,39025302.0,115698978.45000033,0.912972
0.5,1,512,38873429.0,114739799.57999995,0.9500221818181818
0.5,1,1024,36432468.0,106425820.36000001,0.9448090909090909
0.5,1,1280,34855312.5,106501076.39999995,1.0129516363636364
0.5,1,1518,36908011.0,111319734.16000007,1.0599625454545454
0.5,10,64,2161309559.0,3161545229.9,0.2159770909090909
0.5,10,128,2165004471.0,3139623403.48,0.333824
0.5,10,256,2013620955.0,2794304811.8,0.6902690909090909
0.5,10,512,1390673491.0,2416313216.6000004,1.4272698181818182
