p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.01,1000,64,6,1993460.0,5273538.640000006,737.7027675959596
0.01,1000,64,7,1996559.5,6980642.78000001,736.6593362424242
0.01,1000,64,8,1995743.0,5464538.850000026,737.0906122020201
0.05,0.1,64,1,484286.0,1560433.6999999988,0.09320129292929294
0.05,0.1,64,2,460056.5,1246501.5599999998,0.09320129292929293
0.05,0.1,64,3,472667.0,1161094.559999998,0.09320129292929294
0.05,0.1,64,4,448299.5,1113671.9300000018,0.09322925252525252
0.05,0.1,64,5,455047.0,1077947.4599999997,0.09320129292929294
0.05,0.1,64,6,450553.0,1041481.3200000003,0.09320129292929293
0.05,0.1,64,7,470532.0,1181245.5999999999,0.09320129292929293
0.05,0.1,64,8,467245.0,1142988.3900000001,0.09320129292929294
0.05,1,64,1,512426.0,1602429.9499999997,0.9607806060606061
0.05,1,64,2,453766.0,1259146.0999999987,0.9607806060606061
0.05,1,64,3,454836.5,1187107.709999997,0.9608085656565657
0.05,1,64,4,450814.0,1187228.2000000014,0.9608085656565655
0.05,1,64,5,453254.0,1151661.1,0.9608085656565655
0.05,1,64,6,450460.0,1110037.9000000006,0.9607813333333335
0.05,1,64,7,460241.0,1207794.2000000014,0.9608085656565657
0.05,1,64,8,455327.0,1173024.3899999992,0.9607806060606061
0.05,10,64,1,473903.0,1569237.44,9.550929616161616
0.05,10,64,2,455691.0,1205641.6500000004,9.551649292929293
0.05,10,64,3,422236.0,1146297.919999999,9.546983919191918
0.05,10,64,4,412961.0,1064168.6399999994,8.486206545454545
0.05,10,64,5,416448.0,1070897.900000002,9.54683684848485
0.05,10,64,6,413768.0,1064048.9999999993,9.549440484848484
0.05,10,64,7,419617.0,1109963.9600000002,9.549664646464645
0.05,10,64,8,414109.0,1086043.84,9.549050505050506
0.05,100,64,1,59853.0,378734.80000000005,95.92985050505051
0.05,100,64,2,59776.0,349849.15000000043,95.90033292929293
0.05,100,64,3,59890.0,498901.299999999,94.74591078787878
0.05,100,64,4,59561.0,489956.31999999896,94.75017608080809
0.05,100,64,5,59697.0,485526.58,94.76414755555555
0.05,100,64,6,59654.0,491209.7800000014,94.77282311111111
0.05,100,64,7,152431.0,5988343.560000005,94.73855191919192
0.05,100,64,8,152743.0,5569430.4700000025,94.7367663030303
0.05,1000,64,1,1845966.0,19295159.11,732.183671919192
0.05,1000,64,2,1969391.0,2126687.17,744.7894566464646
0.05,1000,64,3,2906878.0,5469703.290000062,689.5952812929294
0.05,1000,64,4,3006384.0,8090428.850000003,637.3130865454546
0.05,1000,64,5,2932975.0,7920356.060000004,676.1575956363636
0.05,1000,64,6,2042086.5,7901322.8200000115,710.3493284848486
0.05,1000,64,7,3024888.0,12543333.4,563.2728808080809
0.05,1000,64,8,2944168.5,11919268.320000006,614.0709414141414
0.1,0.1,64,1,609505.0,2178634.799999998,0.09317333333333332
0.1,0.1,64,2,601459.0,1530629.5999999994,0.09317333333333333
0.1,0.1,64,3,530622.0,1403952.6800000002,0.09320129292929293
0.1,0.1,64,4,511564.0,1301261.379999999,0.09317406060606061
0.1,0.1,64,5,556620.0,1375018.860000001,0.09320129292929294
0.1,0.1,64,6,510744.0,1317779.0599999996,0.09320129292929294
0.1,0.1,64,7,537156.0,1330301.9,0.09317333333333333
0.1,0.1,64,8,559953.0,1318950.910000001,0.09317333333333333
0.1,1,64,1,608821.0,2227658.7600000002,0.9607806060606061
0.1,1,64,2,531241.0,1574756.3200000003,0.9608085656565657
0.1,1,64,3,505973.0,1517901.9699999979,0.9608085656565657
0.1,1,64,4,514686.0,1380099.0,0.9608365252525252
0.1,1,64,5,542113.0,1450982.4499999997,0.9608085656565657
0.1,1,64,6,537877.0,1374048.8399999999,0.9607806060606061
0.1,1,64,7,566772.0,1438495.8399999999,0.9607533737373737
0.1,1,64,8,523936.5,1427989.9799999997,0.9607533737373737
0.1,10,64,1,659644.0,2193028.7600000002,9.558073777777778
0.1,10,64,2,575324.0,1555730.6,9.552543515151516
