p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.05,0.1,512,5,553760.0,1139474.08,0.07087490909090909
0.05,0.1,512,7,418774.0,1002145.3400000001,0.0707490909090909
0.05,0.1,1518,1,640961.0,914658.32,0.08004
0.05,0.1,1518,3,676458.0,1084005.2999999998,0.12046181818181818
0.05,0.1,1518,5,545647.0,1136691.1,0.09617381818181818
0.05,0.1,1518,7,673260.0,1206815.6,0.11935454545454546
0.05,1,64,1,527729.5,1605736.4999999995,0.960824
0.05,1,64,3,456638.0,1215374.5199999996,0.960824
0.05,1,64,5,449057.0,1213848.8000000003,0.9608207272727273
0.05,1,64,7,450059.5,1203498.5000000007,0.9608207272727273
0.05,1,256,1,484353.0,1618622.6399999992,0.9295454545454545
0.05,1,256,3,437843.0,1143173.5199999996,0.9274974545454545
0.05,1,256,5,416040.0,1116648.4500000002,0.9271218181818182
0.05,1,256,7,431896.0,1114973.0299999998,0.9222207272727273
0.05,1,512,1,473991.0,1661255.6000000006,0.9533767272727272
0.05,1,512,3,412880.5,1051720.5599999998,0.9490945454545454
0.05,1,512,5,429974.0,1122425.8799999992,0.9487189090909092
0.05,1,512,7,412116.0,1133690.74,0.9520098181818182
0.05,1,1518,1,646260.0,1392158.5,0.9198803636363636
0.05,1,1518,3,643500.0,1179634.5200000003,0.9219625454545455
0.05,1,1518,5,642251.0,1163385.7399999995,0.8656585454545456
0.05,1,1518,7,654065.0,1214438.1199999999,0.8784803636363636
0.05,10,64,1,474211.0,1615506.9999999984,9.555390181818181
0.05,10,64,3,421264.0,1153092.2399999993,9.544588000000001
0.05,10,64,5,411666.0,1099784.9199999995,9.548111272727272
0.05,10,64,7,413874.0,1099169.0200000003,9.55402290909091
0.05,10,256,1,488560.0,1684932.9999999988,9.363764727272727
0.05,10,256,3,432734.0,1226429.1500000001,9.365812727272727
0.05,10,256,5,390799.0,1141312.9999999965,9.357717090909091
0.05,10,256,7,397527.0,1177867.3599999982,9.365812727272727
0.05,10,512,1,490831.5,1703256.9900000016,9.699450545454546
0.05,10,512,3,426699.0,1223769.789999998,9.697216363636363
0.05,10,512,5,405931.5,1148428.749999999,9.695730181818181
0.05,10,512,7,417906.0,1183828.1300000013,9.69541818181818
0.05,10,1518,1,702398.5,1765611.4800000025,9.387434545454546
0.05,10,1518,3,652994.5,1417360.3699999996,9.525986545454547
0.05,10,1518,5,654742.0,1337510.6799999939,9.702077818181818
0.05,10,1518,7,666499.5,1576426.6499999978,9.6738
0.05,100,64,1,75800.0,378491.47000000015,95.94955636363636
0.05,100,64,3,185626.0,573364.5999999997,94.767864
0.05,100,64,5,60378.0,497935.7200000004,94.74323018181819
0.05,100,64,7,153149.0,6312414.079999957,94.74676363636364
0.05,100,256,1,450169.5,1466796.67,93.44059127272727
0.05,100,256,3,390902.0,1110786.9199999995,92.79845018181817
0.05,100,256,5,386933.0,1027643.1200000005,92.83894145454545
0.05,100,256,7,376915.0,1036126.9599999996,92.7182661818182
0.05,100,512,1,506503.5,1712910.5499999986,97.05093600000001
0.05,100,512,3,401983.0,1195969.7099999995,96.962872
0.05,100,512,5,397651.5,1125254.0,96.99712618181817
0.05,100,512,7,390010.5,1117819.7200000016,96.83961636363637
0.05,100,1518,1,648886.0,5374664.709999761,97.61746181818182
0.05,100,1518,3,641774.0,5332900.320000056,98.85780581818182
